"GSE","Platform","Organism","nSamples","hasTreatmentField","nControl","nAgents","Agents","hasCellLine","hasGenotype","usable","Title"
"GSE218491","GPL18573","Homo sapiens",3,TRUE,1,0,"",TRUE,TRUE,FALSE,"Genome-wide CRISPR/Cas9 Screens Reveal Shared and Bespoke Mechanisms of Resistance to SHP2"
"GSE218708","GPL24676","Homo sapiens",6,TRUE,3,1,"FTY720",TRUE,TRUE,TRUE,"Effect of FTY720 on gene expression in KMT2A-R AML cell line THP1"
"GSE220170","GPL16791","Homo sapiens",36,TRUE,12,4,"AR42-05; AR42-08; ENTI-2; ENTI-4",TRUE,TRUE,TRUE,"Orthogonal proteogenomic approaches identify the druggable PA2G4-MYC axis in 3q26 AML"
"GSE220707","GPL16791","Homo sapiens",6,TRUE,3,1,"DEG-35",TRUE,TRUE,TRUE,"Genes regulated by DEG-35, a dual degrader of IKZF2 and CK1A in AML cells"
"GSE221459","GPL24676","Homo sapiens",6,TRUE,3,1,"HSN748",TRUE,TRUE,TRUE,"Alkynyl nicotinamides show antileukemic activity in drug-resistant acute myeloid leukemia"
"GSE221578","GPL24676","Homo sapiens",31,FALSE,0,0,"",FALSE,FALSE,FALSE,"CRISPR-based genetic screens to interrogate therapeutic targets on tumor maintenance and h"
"GSE222822","GPL20301","Homo sapiens",42,TRUE,21,1,"decitabine",TRUE,TRUE,TRUE,"RNA-seq of decitabine-treated AML cell line panel"
"GSE222886","GPL20301","Homo sapiens",75,TRUE,35,3,"decitabine; decitabine + RG3039; RG3039",TRUE,TRUE,TRUE,"A multiomics approach reveals RNA dynamics promote cellular sensitivity to DNA hypomethyla"
"GSE224155","GPL24676","Homo sapiens",2,TRUE,1,0,"",TRUE,TRUE,FALSE,"Effect of omipalisib on transcriptome and signaling pathways in leukemic cell line OCI-AML"
"GSE224607","GPL23934","Homo sapiens",18,TRUE,9,1,"IPI-549",TRUE,TRUE,TRUE,"PI3Kγ maintains the self-renewal of acute myeloid leukemia stem cell through regulation of"
"GSE225315","GPL24676","Homo sapiens",8,TRUE,4,1,"PR-957",TRUE,FALSE,TRUE,"Immunoproteasome function maintains oncogenic gene expression in KMT2a-rearranged leukemia"
"GSE225356","GPL24676","Homo sapiens",11,TRUE,4,2,"MI-503; MI-503 + PR-957",TRUE,FALSE,TRUE,"Immunoproteasome function maintains oncogenic gene expression in KMT2a-rearranged leukemia"
"GSE225384","GPL24676","Homo sapiens",9,TRUE,3,1,"decitabine",TRUE,TRUE,TRUE,"CD36 Triggers a non-classical lipid metabolic Program promoting Immune Escape and Resistan"
"GSE225391","GPL21697","Homo sapiens",18,TRUE,9,1,"PR-957",TRUE,FALSE,TRUE,"Immunoproteasome function maintains oncogenic gene expression in KMT2a-rearranged leukemia"
"GSE226414","GPL23159","Homo sapiens",12,FALSE,0,0,"",TRUE,FALSE,FALSE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE226418","GPL23159","Homo sapiens",6,TRUE,3,1,"QUIZ",TRUE,FALSE,TRUE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE226420","GPL23159","Homo sapiens",6,TRUE,3,1,"QUIZ",TRUE,FALSE,TRUE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE226459","GPL23159","Homo sapiens",6,TRUE,3,1,"quizartinib",TRUE,FALSE,TRUE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE226460","GPL23159","Homo sapiens",6,TRUE,3,1,"gilteritinib",TRUE,FALSE,TRUE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE226461","GPL23159","Homo sapiens",66,TRUE,12,3,"gilteritinib; QUIZ; quizartinib",TRUE,FALSE,TRUE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE226688","GPL18573","Homo sapiens",9,TRUE,0,1,"lentiviral transduction",TRUE,TRUE,FALSE,"The alternative Nucleosome Remodeling Factor complex sustains acute myeloid leukemia by re"
"GSE227269","GPL24676","Homo sapiens",36,TRUE,9,3,"Cytarabine; Cytarabine and Daunorubicin; Daunorubicin",TRUE,TRUE,TRUE,"Transcriptional response to standard AML drugs identifies synergistic combinations"
"GSE227343","GPL11154","Homo sapiens",29,TRUE,5,2,"E7820; Pre-",TRUE,TRUE,TRUE,"E7820, an Anti-Cancer Sulfonamide, Degrades RBM39 in Patients with Splicing Factor Mutant "
"GSE227874","GPL18573","Homo sapiens",6,TRUE,3,1,"GILT",TRUE,FALSE,TRUE,"C/EBPα confers dependence to fatty acid anabolic pathways and vulnerability to lipid oxida"
"GSE228307","GPL24676","Homo sapiens",24,TRUE,12,2,"KO-539; VTP-50469",TRUE,TRUE,TRUE,"Synergistic Targeting of Menin in AML"
"GSE228326","GPL18573","Homo sapiens",34,TRUE,13,5,"BET OTX015,; Menin SNDX-50469 + OTX015,; OTX015; VTP50469; VTP50469 + OTX015",TRUE,TRUE,TRUE,"Targeting of epigenetic co-dependencies enhances anti-AML efficacy of Menin inhibitor in A"
"GSE228760","GPL24676","Homo sapiens",191,TRUE,14,2,"PMD-026; Quizartinib",TRUE,FALSE,TRUE,"RSK1 is an exploitable dependency in myeloid malignancies."
"GSE229309","GPL18573","Homo sapiens",18,TRUE,9,1,"AZ-5576",TRUE,TRUE,TRUE,"RNA decay defines the therapeutic response to transcriptional perturbation in leukemia [3m"
"GSE229312","GPL18573","Homo sapiens",12,TRUE,0,1,"4-thiouridine in final 10 minutes",TRUE,FALSE,FALSE,"RNA decay defines the therapeutic response to transcriptional perturbation in leukemia [SL"
"GSE229314","GPL18573","Homo sapiens",89,TRUE,15,11,"1μg/mL Actinomycin D; 1μg/mL Actinomycin D , 100μM 4-thiouridine in final hour; 1μM -485 , 100μM 4-thiouridine in final hour; 1μM AZ-5576; 1μM AZ-5576 , 100μM 4-thiouridine in final hour; 1μM JQ1 , 100μM 4-thiouridine in final hour",TRUE,TRUE,TRUE,"RNA kinetics influence the response to transcriptional perturbation in leukaemia cell line"
"GSE229663","GPL24676","Homo sapiens",12,TRUE,3,3,"cbCD34+ cells dTAG-13; UBTF-TD PDX model SNDX; UBTF-TD PDX model Veh",TRUE,FALSE,TRUE,"UBTF tandem duplication acute myeloid leukemias are sensitive to menin inhibition [RNA-seq"
"GSE230646","GPL24676","Homo sapiens",14,TRUE,2,5,"endogenous m6A; exogenous RIP-seq; RB98#; RBPMS knockdown; scramble shRNA control",TRUE,TRUE,TRUE,"Targeting RBPMS selectively eliminates leukemia initiating cells via the USP1/m6A/FOXO1 ax"
"GSE232007","GPL18573","Homo sapiens",9,TRUE,3,2,"CC-220; CC-92840",TRUE,FALSE,TRUE,"Mezigdomide is effective alone and in combination with Menin inhibition in pre-clinical mo"
"GSE232091","GPL24676","Homo sapiens",12,TRUE,6,1,"SNDX-5613",TRUE,TRUE,TRUE,"The MLL – Menin interaction is a therapeutic vulnerability in NUP98-rearranged AML"
"GSE233730","GPL21697","Homo sapiens",11,TRUE,2,1,"GSK3685032",TRUE,TRUE,TRUE,"Understanding the regulation of DNMT1 activity using unbiased functional genomics"
"GSE233810","GPL24676","Homo sapiens",12,TRUE,6,1,"SNDX-5613",TRUE,TRUE,TRUE,"UBTF tandem duplication AMLs are sensitive to menin inhibition"
"GSE233849","GPL23159","Homo sapiens",10,TRUE,5,1,"MI-463",TRUE,TRUE,TRUE,"The effect of menin-inhibition on the human AML cell line MV4-11 [gene expression]"
"GSE235069","GPL23159","Homo sapiens",16,FALSE,0,0,"",FALSE,FALSE,FALSE,"Ferritinophagy is a Druggable Vulnerability of Quiescent Leukemic Stem Cells [9a]"
"GSE235070","GPL18573","Homo sapiens",2,FALSE,0,0,"",TRUE,FALSE,FALSE,"Ferritinophagy is a Druggable Vulnerability of Quiescent Leukemic Stem Cells"
"GSE235600","GPL24676","Homo sapiens",18,TRUE,9,1,"CHIR",TRUE,TRUE,TRUE,"Sensitivity of splicing factor mutant hematopoietic cells to GSK-3 inhibition"
"GSE235653","GPL24676","Homo sapiens",8,TRUE,0,2,"Ethanol; Ponasterone",TRUE,TRUE,FALSE,"Identification of epigenetic modifiers essential for growth and survival of AML1/ETO-posit"
"GSE236772","GPL30173","Homo sapiens",27,TRUE,10,5,"CBFBi; FLT3i; NTC; shNFIX; shRUNX1",TRUE,TRUE,TRUE,"Gene regulatory network analysis predicts cooperating transcription factor regulons requir"
"GSE236773","GPL24676","Homo sapiens",2,TRUE,1,0,"",TRUE,TRUE,FALSE,"Gene regulatory network analysis predicts cooperating transcription factor regulons requir"
"GSE236775","GPL24676","Homo sapiens",2,TRUE,1,0,"",TRUE,TRUE,FALSE,"Gene regulatory network analysis predicts cooperating transcription factor regulons requir"
"GSE237239","GPL18573","Homo sapiens",5,TRUE,2,1,"methanol fixation 18 months",TRUE,FALSE,TRUE,"Single-Cell Transcriptome Analysis of Acute Myeloid  Leukemia Cells Using Methanol Fixatio"
"GSE239350","GPL24247","Mus musculus",4,TRUE,2,1,"ATRA",TRUE,TRUE,TRUE,"Identifying STRN3-RARA as a new fusion gene for acute promyelocytic leukemia [RNA-seq 2]"
"GSE239721","GPL24676","Homo sapiens",20,TRUE,0,1,"Newly diagnosed",TRUE,FALSE,FALSE,"Single cell analysis of newly diagnosed AML patients"
"GSE240439","GPL24676","Homo sapiens",12,TRUE,3,3,"Decitabine; Decitabine+Simvastatin; Simvastatin",TRUE,FALSE,TRUE,"Mitotic perturbation is a key mechanism of action of decitabine in myeloid tumor treatment"
"GSE240496","GPL20301","Homo sapiens",24,TRUE,6,3,"COMBO; FICZ; JQ1",TRUE,TRUE,TRUE,"Activation of a nongenetic AHR-ELMSAN1 axis optimizes BET-targeting therapy and suppresses"
"GSE240497","GPL20301","Homo sapiens",60,TRUE,15,3,"COMBO; FICZ; JQ1",TRUE,TRUE,TRUE,"Activation of a nongenetic AHR-ELMSAN1 axis optimizes BET-targeting therapy and suppresses"
"GSE241427","GPL30173","Homo sapiens",20,TRUE,10,1,"I-BRD9",TRUE,FALSE,TRUE,"The ncBAF complex regulates transcription in AML through H3K27ac sensing by BRD9 (TT-Seq)"
"GSE241428","GPL30173","Homo sapiens",160,TRUE,80,1,"I-BRD9",TRUE,FALSE,TRUE,"The ncBAF complex regulates transcription in AML through H3K27ac sensing by BRD9"
"GSE241450","GPL11154","Homo sapiens",10,FALSE,0,0,"",TRUE,FALSE,FALSE,"Pharmacologic inhibition of BAF chromatin remodeling complexes as a therapeutic approach t"
"GSE241581","GPL24676","Homo sapiens",27,TRUE,3,2,"dTAGv1_24h; dTAGv1_72h",TRUE,TRUE,TRUE,"DCAF15 control of cohesin dynamics sustains acute myeloid leukemia"
"GSE241584","GPL24676","Homo sapiens",8,TRUE,2,3,"All-trans retinoic acid; L-ascorbic acid; LAA + ATRA",TRUE,FALSE,TRUE,"Retinoic acid and ascorbate synergize to suppress myeloid leukemia via TET2 activation [U-"
"GSE241922","GPL24676","Homo sapiens",6,TRUE,3,1,"S767",TRUE,FALSE,TRUE,"Effect of S767 treatment on gene expression of OCI-AML5 cells"
"GSE241936","GPL20301","Homo sapiens",36,TRUE,9,3,"COMBO; FICZ; JQ1",TRUE,FALSE,TRUE,"Activation of a nongenetic AHR-ELMSAN1 axis optimizes BET-targeting therapy and suppresses"
"GSE24224","GPL570","Homo sapiens",6,FALSE,0,0,"",TRUE,FALSE,FALSE,"Analysis of genome-wide methylation and gene expression induced by decitabine treatment in"
"GSE243586","GPL18573","Homo sapiens",12,TRUE,4,2,"darglitazone; pioglitazone",TRUE,FALSE,TRUE,"Effet of pioglitazone and darglitazone on AML cell lines"
"GSE243669","GPL24676","Homo sapiens",10,TRUE,5,1,"cytarabine",TRUE,TRUE,TRUE,"Targeting PI3Kgamma dependency in leukemia treatment [cytarabine persistence]"
"GSE243670","GPL18573","Homo sapiens",8,FALSE,0,0,"",TRUE,TRUE,FALSE,"Targeting PI3Kgamma dependency in leukemia treatment"
"GSE244855","GPL16791","Homo sapiens",12,TRUE,3,3,"Gilteritinib; Gilteritinib+Metformin; Metformin",TRUE,FALSE,TRUE,"Effect of Gilteritinib, Metformin and Combination treatments on gene expression in MOLM13-"
"GSE245810","GPL31904","Homo sapiens",19,FALSE,0,0,"",TRUE,FALSE,FALSE,"Parallel single-cell metabolic analysis and extracellular vesicle profiling reveal vulnera"
"GSE246341","GPL11154","Homo sapiens",8,TRUE,3,1,"MOLM13 cells",TRUE,FALSE,TRUE,"Acquired resistance in AML cell lines to the bifunctional electrophile busulfan is associa"
"GSE246783","GPL24676","Homo sapiens",30,TRUE,6,7,"Gilteritinib; MI3454; MI3454 + Gilteritinib; MI3454 + Palbociclib; MI3455; MI3456",TRUE,FALSE,TRUE,"Combination of menin and kinase inhibitors as a novel treatment for NUP98-rearranged leuke"
"GSE247095","GPL24676","Homo sapiens",28,TRUE,14,2,"BC2059; BC2059,",TRUE,FALSE,TRUE,"Preclinical efficacy of targeting epigenetic mechanisms in AML with 3q26 lesions and EVI1 "
"GSE247175","GPL24676","Homo sapiens",12,TRUE,3,3,"HA; VEN; VEN+HA",TRUE,TRUE,TRUE,"Hexamethylene Amiloride synergizes with Venetoclax to induce lysosome-dependent cell death"
"GSE247210","GPL20301","Homo sapiens",18,TRUE,6,2,"JQ1; OTX015",TRUE,FALSE,TRUE,"BET inhibition restores NPM1c+-mediated deregulation of chromatin in AML"
"GSE247499","GPL24676","Homo sapiens",6,TRUE,2,2,"UZH2; WD6305",TRUE,FALSE,TRUE,"Gene expression in Mon-Mac-6 cells treated with METTL3 PROTAC, WD6305 and inhibitor, UZH2"
"GSE248296","GPL24676","Homo sapiens",24,TRUE,12,1,"EZH2inhibitor EPZ6438",TRUE,TRUE,TRUE,"Epigenetic vulnerabilities of leukemia harboring inactivating EZH2 mutations"
"GSE248581","GPL18573","Homo sapiens",48,TRUE,21,4,"AZA; AZA+Spautin-1; Decitabine; Spautin-1",TRUE,FALSE,TRUE,"Study of the effects of AZA and its combination with autophagy inhibitor, spautin-1 on the"
"GSE249078","GPL20301","Homo sapiens",28,TRUE,14,1,"VTP50469",TRUE,TRUE,TRUE,"Epigenetic Regulation of Non-canonical Menin Targets Modulates Menin Inhibitor Response in"
"GSE249080","GPL20301","Homo sapiens",28,TRUE,14,1,"VTP50469",TRUE,TRUE,TRUE,"Epigenetic Regulation of Non-canonical Menin Targets Modulates Menin Inhibitor Response in"
"GSE249437","GPL24676","Homo sapiens",22,TRUE,2,5,"10uM_Darolutamide; R1881; siAR, cultured in Darolutamide; siGATA2, cultured in Darolutamide; siRNA control, cultured in Darolutamide",TRUE,TRUE,TRUE,"GATA2 up-regulation restores androgen receptor chromatin association and advances daroluta"
"GSE251859","GPL30173","Homo sapiens",12,TRUE,3,3,"Combination GSK-LSD1 and LY2090315; GSK-LSD1; LY2090314",TRUE,FALSE,TRUE,"Perturbing LSD1 and WNT rewires transcription to synergistically induce AML differentiatio"
"GSE251860","GPL30173","Homo sapiens",38,TRUE,5,3,"Combination GSK-LSD1 and LY2090315; GSK-LSD1; LY2090314",TRUE,FALSE,TRUE,"Perturbing LSD1 and WNT rewires transcription to synergistically induce AML differentiatio"
"GSE251919","GPL20301","Homo sapiens",12,TRUE,6,1,"dTAG-13,",TRUE,TRUE,TRUE,"Mutant NPM1 marginally impacts ribosome footprint in acute myeloid leukemia cells"
"GSE252057","GPL20301","Homo sapiens",4,TRUE,1,0,"",TRUE,FALSE,FALSE,"Combination of SD70 and MI-503 exerts a synergistic effect against MLL:: AF9-driven AML"
"GSE252193","GPL23159","Homo sapiens",8,TRUE,4,0,"",TRUE,FALSE,FALSE,"AML cell line HL60 treated with WIN55"
"GSE252745","GPL24676","Homo sapiens",2,TRUE,1,0,"",TRUE,TRUE,FALSE,"Efficacy of novel agents against cellular models of familial platelet disorder with myeloi"
"GSE252746","GPL24676","Homo sapiens",35,TRUE,19,2,"homoharringtonine; mebendazole",TRUE,TRUE,TRUE,"Efficacy of novel agents against cellular models of familial platelet disorder with myeloi"
"GSE252937","GPL24676","Homo sapiens",6,TRUE,3,1,"FHD-286",TRUE,FALSE,TRUE,"BRG1/BRM inhibitor targets AML stem cells and exerts superior preclinical efficacy combine"
"GSE252938","GPL24676","Homo sapiens",34,TRUE,17,2,"FHD-286; FHD-286,",TRUE,TRUE,TRUE,"BRG1/BRM inhibitor targets AML stem cells and exerts superior preclinical efficacy combine"
"GSE253457","GPL20844","Homo sapiens",12,FALSE,0,0,"",FALSE,FALSE,FALSE,"RUNX1 expression is regulated by a super-enhancer and is a therapeutic target in adult T-c"
"GSE253920","GPL16791","Homo sapiens",6,TRUE,3,1,"interferon gama, 10 ng/ml",FALSE,FALSE,TRUE,"CD38-directed, single-chain T cell-engager targets leukemia stem cells through IFNγ-induce"
"GSE253921","GPL24676","Homo sapiens",2,TRUE,1,0,"",FALSE,FALSE,FALSE,"CD38-directed, single-chain T cell-engager targets leukemia stem cells through IFNγ-induce"
"GSE255339","GPL18573","Homo sapiens",192,TRUE,32,2,"azacytidine; decitabine",TRUE,FALSE,TRUE,"Upregulated cholesterol biosynthesis facilitates the survival of methylation-retaining AML"
"GSE255808","GPL21103","Mus musculus",2,FALSE,0,0,"",TRUE,FALSE,FALSE,"Transcriptional and epigenetic rewiring by the NUP98::KDM5A fusion oncoprotein directly ac"
"GSE256040","GPL24676","Homo sapiens",2,FALSE,0,0,"",FALSE,FALSE,FALSE,"Orthogonal proteogenomic approaches identify the druggable PA2G4-MYC axis in 3q26 AML"
"GSE256076","GPL24676","Homo sapiens",4,TRUE,1,0,"",TRUE,FALSE,FALSE,"Orthogonal proteogenomic approaches identify the druggable PA2G4-MYC axis in 3q26 AML"
"GSE256353","GPL15520","Homo sapiens",864,TRUE,288,2,"azacytidine; decitabine",TRUE,FALSE,TRUE,"Upregulated cholesterol biosynthesis facilitates the survival of methylation-retaining AML"
"GSE256354","GPL15520","Homo sapiens",1325,TRUE,341,5,"azacytidine; decitabine; hma: AZA; hma: DAC; hma: No",TRUE,FALSE,TRUE,"Hypomethylating agents induce epigenetic and transcriptional heterogeneity with implicatio"
"GSE2594","GPL1982","Homo sapiens",4,FALSE,0,0,"",FALSE,FALSE,FALSE,"Lymphoblasts from healthy individuals vs. individuals with FPD-AML (familial platelet diso"
"GSE260456","GPL24247","Mus musculus",168,TRUE,0,0,"",TRUE,FALSE,FALSE,"DOT1L provides transcriptional memory through PRC1.1 antagonism [RNA-seq]"
"GSE260759","GPL24676","Homo sapiens",24,TRUE,8,2,"ARM165-; AZ2-",TRUE,FALSE,TRUE,"Targeting a Lineage-Specific PI3Kɣ/AKT Signaling Module in Acute Myeloid Leukemia Using a "
"GSE260905","GPL16791","Homo sapiens",12,TRUE,6,2,"Tet-shALKBH1, Venetoclax,; Tet-shNS, Venetoclax,",TRUE,FALSE,TRUE,"ALKBH1-mediated tRNA 5-formylcytidine modification facilitates codon-biased translation an"
"GSE26114","GPL570","Homo sapiens",24,FALSE,0,0,"",TRUE,FALSE,FALSE,"Combination of ABT-869 with SAHA on AML with FLT3-ITD"
"GSE261337","GPL24676","Homo sapiens",12,TRUE,6,1,"AZA",TRUE,TRUE,TRUE,"Genome-Wide CRISPR-Cas9 Screening Identifies a Synergy between Hypomethylating Agents and "
"GSE261339","GPL24676","Homo sapiens",18,TRUE,10,1,"AZA",TRUE,TRUE,TRUE,"Genome-Wide CRISPR-Cas9 Screening Identifies a Synergy between Hypomethylating Agents and "
"GSE261921","GPL24676","Homo sapiens",24,TRUE,6,3,"ADV; ADV+VEN; VEN",TRUE,FALSE,TRUE,"Synergistic Activity of Adefovir Dipivoxil and Venetoclax to Target the Bioenergetic Metab"
"GSE262392","GPL18573","Homo sapiens",2,FALSE,0,0,"",TRUE,FALSE,FALSE,"A myeloid maturation program initiated by nucleotide depletion during S phase [ery_scrnase"
"GSE262673","GPL18573","Homo sapiens",12,TRUE,3,3,"disulfiram / copper; niclosamide; niclosamide and disulfiram / copper",TRUE,FALSE,TRUE,"Gene expression changes in SHI-1 cells following exposure to disulfiram/copper, niclosamde"
"GSE263984","GPL21697","Homo sapiens",9,TRUE,3,2,"JPX-0700; JPX-0750",TRUE,FALSE,TRUE,"Dual specific STAT3/5 degraders effectively block acute myeloid leukemia and natural kille"
"GSE264565","GPL24676","Homo sapiens",12,TRUE,2,5,"-23a_100nM; -23a_200nM; GSK032_100nM; GSK032+SAHA_100nM; SAHA_100nM",TRUE,FALSE,TRUE,"Development of a First-in-Class DNMT1/HDAC Inhibitor with Improved Therapeutic Potential a"
"GSE266010","GPL24676","Homo sapiens",9,TRUE,3,2,"dTAGv1_24h; dTAGv1_72h",TRUE,FALSE,TRUE,"CRL4-DCAF15 control of cohesin dynamics sustains cell proliferation [RNA-seq_dTAG]"
"GSE266913","GPL24676","Homo sapiens",44,TRUE,9,3,"Alexidine; MMP_high; MMP_low",TRUE,FALSE,TRUE,"Targeting Mitochondrial Membrane Potential as A Generalized Strategy to Eradicate Leukemic"
"GSE267059","GPL24676","Homo sapiens",4,TRUE,2,1,"SF1-8",TRUE,TRUE,TRUE,"K562-U2AF1_S34F treated with U2AF1-UHM inhibitor, SF1-8"
"GSE267350","GPL16791","Homo sapiens",6,TRUE,3,1,"Ethacyrnic acid",TRUE,FALSE,TRUE,"Chemical Screening Identified Compounds That Trigger Differentiation and Augment ATRA-Indu"
"GSE267387","GPL16791","Homo sapiens",6,TRUE,0,2,"DB2115; VEH",TRUE,FALSE,FALSE,"Pharmacological Repositioning of the transcription factor PU.1 [RNA-seq]"
"GSE267389","GPL16791","Homo sapiens",6,TRUE,0,2,"DB2115; VEH",TRUE,FALSE,FALSE,"Pharmacological Repositioning of the transcription factor PU.1"
"GSE267885","GPL24676","Homo sapiens",8,TRUE,2,3,"TAK-981; TAK-981 + venetoclax; venetoclax",TRUE,FALSE,TRUE,"Targeting SUMOylation sensitizes Acute myeloid leukemia to Venetoclax treatment"
"GSE269021","GPL24676","Homo sapiens",24,TRUE,6,6,", ANA,; 0.005 μM IDA,; 1 μM ANA + 0.005 μM IDA,; 1 μM ANA,; ANA+ IDA,; IDA,",TRUE,FALSE,TRUE,"Combined ANA and IDA treatment is an innovative and promising therapeutic strategy for AML"
"GSE26921","GPL570","Homo sapiens",8,FALSE,0,0,"",TRUE,FALSE,FALSE,"Determinants of sensitivity to DZNep induced apoptosis in multiple myeloma cells"
"GSE269669","GPL24676","Homo sapiens",27,TRUE,0,2,"Aza+Ven+Margo; Pre-",TRUE,FALSE,FALSE,"Phase Ib/II Study of Azacitidine, Venetoclax and Magrolimab in Adult Patients with Newly D"
"GSE270051","GPL24676","Homo sapiens",6,TRUE,3,1,"DZNep 0.5μM",TRUE,FALSE,TRUE,"Cell fate reprogramming of erythroid cells caused by reduction of H3K4me3 lead to a “retro"
"GSE270053","GPL18573","Homo sapiens",1,TRUE,0,0,"",TRUE,FALSE,FALSE,"Cell fate reprogramming of erythroid cells caused by reduction of H3K4me3 lead to a “retro"
"GSE270318","GPL24676","Homo sapiens",12,TRUE,3,3,"ABT199; ABT199 + ERKi; ERKi",TRUE,FALSE,TRUE,"ERK1/2 Inhibition Overcomes Resistance to Venetoclax in AML By Inhibiting Drp1 Dependent M"
"GSE270397","GPL24676","Homo sapiens",10,TRUE,3,2,"--; eltanexor",TRUE,TRUE,TRUE,"Gene expression changes induced by eltanexor in the FKH-1 cell line and PDX model"
"GSE270423","GPL18573","Homo sapiens",4,TRUE,3,0,"",TRUE,FALSE,FALSE,"PRC2-mediated apoptosis evasion is a therapeutic target of MDS/AML harboring inv(3)/t(3;3)"
"GSE271106","GPL24676","Homo sapiens",6,TRUE,3,1,"Luteoloside",TRUE,TRUE,TRUE,"Luteoloside inhibits proliferation, induces apoptosis and differentiation via β-catenin/c-"
"GSE271137","GPL24676","Homo sapiens",75,TRUE,6,5,"AraC; Palbociclib; Quizartinib; Quizartinib & Palbociclib; Saline",FALSE,FALSE,TRUE,"Characterization of Chemoresistant Cell Populations Improves Risk Stratification and Thera"
"GSE272740","GPL24676","Homo sapiens",23,TRUE,3,2,"glutamine deprivation; JQ1",TRUE,TRUE,TRUE,"SUCLG1-deficiency causes hypersuccinylation and impairs leukemia development [RNA-seq]"
"GSE273361","GPL24676","Homo sapiens",6,TRUE,3,1,"1 µM ZW27941",TRUE,TRUE,TRUE,"Targeting METTL3 protein by PROTAC: A Novel Therapeutic Approach for Acute Myeloid Leukemi"
"GSE276384","GPL24676","Homo sapiens",12,TRUE,3,3,"Gilteritinib; Mitoxantrone; Mitoxantrone+Gilteritinib",TRUE,TRUE,TRUE,"Mitoxantrone-liposome sensitizes Flt3-ITD acute myeloid leukemia to gilteritinib treatment"
"GSE276645","GPL34284","Homo sapiens",6,TRUE,3,1,"Celastrol",TRUE,FALSE,TRUE,"The effection of celastrol treatment on SKM-1 cell"
"GSE276955","GPL30173","Homo sapiens",24,TRUE,6,2,"UNC1999; UNC1999+AZA",TRUE,FALSE,TRUE,"Targeting Polycomb for treatment of KMT2A-rearranged AML using AML-iPSCs as a model system"
"GSE277091","GPL16791","Homo sapiens",6,TRUE,3,1,"chiglitazar and CS055",TRUE,TRUE,TRUE,"Combinations of HDAC inhibitor and PPAR agonist induce ferroptosis of leukemic stem cell-l"
"GSE277096","GPL34284","Homo sapiens",6,FALSE,0,0,"",TRUE,FALSE,FALSE,"Early cytokine and chemokine signals shape the anti-AML activity of bispecific engager-sec"
"GSE277100","GPL30173","Homo sapiens",24,TRUE,6,3,"PF-9363,; VTP,; VTP, PF-9363,",TRUE,FALSE,TRUE,"Catalytic inhibition of KAT6 /KAT7 enhances the efficacy and overcomes primary and acquire"
"GSE277382","GPL20301","Homo sapiens",12,TRUE,0,2,"Co Culture; Liquid Culture",TRUE,FALSE,FALSE,"Paediatric Bone marrow Mesenchymal Stem cells support acute myeloid leukaemia cell surviva"
"GSE277912","GPL11154","Homo sapiens",6,TRUE,3,1,"Importazole",TRUE,TRUE,TRUE,"Effect of pharmacologic inhibition of KPNB1 by Importazole on gene expression  of NB-4 cel"
"GSE278582","GPL18573","Homo sapiens",9,TRUE,3,1,"3 doses -dHTC1, 50 mg/kg i.p. BID",TRUE,FALSE,TRUE,"High-throughput diversification of protein-ligand surfaces to discover chemical inducers o"
"GSE278623","GPL11154","Homo sapiens",24,TRUE,3,7,"LSD1; MC4455; MC4491; MS023; MS023 + LSD1; PRT220",TRUE,TRUE,TRUE,"A synergistic interaction between PRMT5 and LSD1 inhibitors in AML"
"GSE280054","GPL34281","Homo sapiens",2,TRUE,0,0,"",TRUE,FALSE,FALSE,"Inhibition of ADSS2-mediated de novo AMP biosynthesis resensitizes acute myeloid leukemia "
"GSE280102","GPL18573","Homo sapiens",29,TRUE,10,5,"Auxin, 4sU; Ethanol, 4sU; LPS 1ug/mL; LPS 1ug/mL, OTS964; OTS964",TRUE,FALSE,TRUE,"A CDK11-dependent RNA polymerase II pause-release checkpoint precedes CDK9-mediated transi"
"GSE280391","GPL34284","Homo sapiens",12,FALSE,0,0,"",TRUE,TRUE,FALSE,"Targeting CERT sensitizes AML Cells to FLT3 Inhibitors through activating GRP78-ATF6-CHOP "
"GSE280425","GPL21697","Homo sapiens",6,TRUE,3,1,"CIP",TRUE,TRUE,TRUE,"Investigation of genes involoved in Corydalis incisa (Thunb.) Pers. (CIP)-induced differen"
"GSE280428","GPL16791","Homo sapiens",32,FALSE,0,0,"",TRUE,FALSE,FALSE,"Targeting Polycomb for treatment of KMT2A-rearranged AML using AML-iPSCs as a model system"
